"Field Name","Type","Size","Description"
"CU_NUMBER","int",4.00,"The credit union charter number. Each credit union is assigned a charter number at charter time. This number is used as a key to retrieve the Credit Union's information from NCUA computer systems. The numbers are assigned by ranges: 00000-59999  Federal C"
"CYCLE_DATE","smalldatetime",4.00,"Contains YYMM format of the F&S cycle."
"JOIN_NUMBER","int",4.00,"The credit union computer internal number. A unique number assigned to the Credit Union when the CU was first entered to the computer system. This number is used by computer program to link the data of the CU among files."
"CU_Name","varchar",128.00,"The name of the credit union."
"CusoName","varchar",128.00,"The full legal name of the CUSO."
"City","varchar",128.00,"The city where the CUSO is legally located."
"IsWhollyOwned","tinyint",1.00,"Is the CUSO wholly owned by the credit union."
"Investment","int",4.00,"Total Amount Invested in the CUSO by the credit union."
"Loan","int",4.00,"Total Loan Invested in the CUSO by the credit union."
"CashOutlay","int",4.00,"The aggregate amount of cash paid out by the credit union to acquire an ownership interest in the CUSO. "
"Check_cur_serv","tinyint",1.00,"Checking and currency services: 1 - Check cashing; 2 - Coin and currency services; 3 - Money order, savings   bonds, travelers checks, and purchase and sale of U.S. Mint commemorative coins services."
"Cler_prof_mgt_serv","tinyint",1.00,"1- Accounting services; 2 - Courier services; 3-  Credit analysis; 4 - Facsimile transmissions and copying services; 5 - Internal audits for credit unions; 6 - Locator services; 7 - Management and personnel training and support; 8 - Marketing services; 9 - Research services; 10 - Supervisory committee audits."
"Bus_ln_orig","tinyint",1.00,"Business loan origination."
"Cons_mtg_orig","tinyint",1.00,"Consumer mortgage loan origination."
"Elect_trans_serv","tinyint",1.00,"Electronic transaction services: 1 - Automated teller machine (ATM) services; 2 - Credit card and debit card  services; 3 - Data processing; 4 - Electronic fund"
"Fin_con_serv","tinyint",1.00,"Financial counseling services: 1 - Developing and administering Individual Retirement Accounts (IRA), Keogh,  deferred compensation, and other personnel benefit plans; 2 - Estate planning; 3 - Financial planning and counseling; 4 - Income tax preparation; 5 - Investment counseling; 6 - Retirement counseling."
"FA_serv","tinyint",1.00,"Fixed asset services: 1 - Management, development, sale, or lease of fixed assets; 2 - Sale, lease, or servicing of  computer hardware or software."
"Ins_br_ag","tinyint",1.00,"Insurance brokerage or agency: 1 - Agency for sale of insurance; 2 - Provision of vehicle warranty programs; 3 - Provision of group purchasing programs."
"Leasing","tinyint",1.00,"Leasing: 1 - Personal property; 2 - Real estate leasing of excess CUSO property."
"Ln_supp_serv","tinyint",1.00,"Loan support services: 1 - Debt collection services; 2 - Loan processing, servicing, and sales; 3 - Sale of  repossessed collateral."
"RR_sec_DR_serv","tinyint",1.00,"Record retention, security and disaster recovery services: 1 - Alarm-monitoring and other security services; 2 - Disaster recovery services; 3 - Microfilm, microfiche, optical and electronic imaging, CD–ROM data storage and retrieval services; 4 - Provision of forms and supplies; 5 - Record retention and storage."
"Ins_br_serv","tinyint",1.00,"Securities brokerage services."
"Shr_branch_ops","tinyint",1.00,"Shared credit union branch (service center) operations."
"St_Ln_orig","tinyint",1.00,"Student loan origination."
"Trav_ag_serv","tinyint",1.00,"Travel agency services."
"Trusts","tinyint",1.00,"Trust and trust-related services: 1 - Acting as administrator for prepaid legal service plans; 2 - Acting as trustee, guardian, conservator, estate administrator, or in any other fiduciary capacity; 3 - Trust services."
"RE_br_serv","tinyint",1.00,"Real estate brokerage services."
"CUSOinv_nonCUSO","tinyint",1.00,"CUSO investments in non-CUSO service providers:  In connection with providing a permissible service, a CUSO may invest in a non-CUSO service provider. The amount of the CUSO’s investment is limited to the amount necessary to participate in the service provider, or a greater amount if necessary to receive a reduced price for goods or services."
"CC_ln_orig","int",4.00,"Credit Card Loan Origination."
"pay_proc_serv","int",4.00,"Payroll Processing Services."
"Other","int",4.00,"Other"
"OtherCusoServiceType","varchar",128.00,"Actual Description of Other CUSO Services offered by the credit union."
"DateCreated","smalldatetime",4.00,"The date this record was created."
"DateUpdated","smalldatetime",4.00,"The date this record was updated."
"InvestmentAccountingTypeName","varchar",16.00,"Consolidation, Equity, or Cost Accounting."
"StateCode","char",2.00,"The state abbrevation where the CUSO is located."
