"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_Name","CusoName","City","IsWhollyOwned","Investment","Loan","CashOutlay","Check_cur_serv","Cler_prof_mgt_serv","Bus_ln_orig","Cons_mtg_orig","Elect_trans_serv","Fin_con_serv","FA_serv","Ins_br_ag","Leasing","Ln_supp_serv","RR_sec_DR_serv","Ins_br_serv","Shr_branch_ops","St_Ln_orig","Trav_ag_serv","Trusts","RE_br_serv","CUSOinv_nonCUSO","CC_ln_orig","pay_proc_serv","Other","OtherCusoServiceType","DateCreated","DateUpdated","InvestmentAccountingTypeName","StateCode"
5,12/31/2011 0:00:00,6,"FIRST CASTLE","CUCB","Harahan",0,50000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",9/28/2009 14:16:00,1/27/2010 9:31:00,"Cost Method","LA"
6,12/31/2011 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Simply Intergrated Platform Solutions, LLC","San Bernardino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Software development",10/1/2009 13:44:00,10/1/2009 13:44:00,"","CA"
6,12/31/2011 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Ongoing Operations, LLC","Maugansville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"",10/1/2009 11:27:00,10/1/2009 11:27:00,"","MD"
6,12/31/2011 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","ICUL Service Corporation","Naperville",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",9/29/2009 13:41:00,9/29/2009 13:41:00,"","IL"
6,12/31/2011 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Credit Union Cooperative Branching, LLC","Harahan",0,50000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",9/29/2009 13:37:00,9/29/2009 13:37:00,"Cost Method","LA"
6,12/31/2011 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Catalyst Strategic Solutions","Plano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ALM Services",10/12/2011 11:45:00,10/12/2011 11:45:00,"","TX"
13,12/31/2011 0:00:00,12,"E","CU24","Tallahassee",0,19585,0,19585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",9/28/2009 16:24:00,5/3/2011 9:04:00,"Cost Method","FL"
13,12/31/2011 0:00:00,12,"E","Credit Union Cooperative Branching","Harahan",0,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",9/28/2009 16:14:00,5/3/2011 9:04:00,"Cost Method","LA"
13,12/31/2011 0:00:00,12,"E","Business Alliance Financial Services LLC","Shreveport",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1/19/2012 23:26:00,1/19/2012 23:26:00,"Cost Method","LA"
22,12/31/2011 0:00:00,17,"WATERBURY CONNECTICUT TEACHER","Mortgage Market CUSO","Houghton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"First Mortgage Origination",9/22/2009 16:22:00,10/6/2009 12:22:00,"","MI"
