"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
6,12/31/2013 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",860,10/1/2009 0:00:00,27000,"National Credit Union Foundation",,"Not Collected"
6,12/31/2013 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",3551,9/4/2013 0:00:00,7500,"NCUA Technical Assistance Program","","Program Grant"
13,12/31/2013 0:00:00,12,"E",3447,8/26/2013 0:00:00,55680,"Other","LA Incumbent Worker Training Program","Program Grant"
108,12/31/2013 0:00:00,58,"KEMBA CHARLESTON",1,10/21/2011 0:00:00,750,"Other","VITA","Not Collected"
108,12/31/2013 0:00:00,58,"KEMBA CHARLESTON",1900,8/15/2012 0:00:00,6344,"Other","NCUA","Not Collected"
174,12/31/2013 0:00:00,91,"LOUISIANA",3080,10/26/2012 0:00:00,10000,"Other","NCUA OSCUI Office Small Credit Union Initiatives","Not Collected"
242,12/31/2013 0:00:00,129,"GULF COAST COMMUNITY",3524,9/24/2013 0:00:00,1003730,"Community Development Financial Institutions Fund","","Program Grant"
370,12/31/2013 0:00:00,201,"PPG & ASSOCIATES",3427,9/5/2013 0:00:00,2700,"Other","Pa Credit Union Foundation","Program Grant"
389,12/31/2013 0:00:00,214,"CINCINNATI OHIO POLICE",3177,3/1/2013 0:00:00,20000,"Association of Credit Union Leagues","","Not Collected"
400,12/31/2013 0:00:00,218,"CENTRAL VALLEY",3,10/1/2008 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
400,12/31/2013 0:00:00,218,"CENTRAL VALLEY",4,6/23/2011 0:00:00,2137,"Association of Credit Union Leagues",,"Not Collected"
404,12/31/2013 0:00:00,222,"GREATER NEW ORLEANS",3152,10/23/2012 0:00:00,490,"Other","LA WORKFORCE COMMISION","Not Collected"
404,12/31/2013 0:00:00,222,"GREATER NEW ORLEANS",3153,9/14/2012 0:00:00,2875,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,12/31/2013 0:00:00,222,"GREATER NEW ORLEANS",3154,7/31/2012 0:00:00,5625,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,12/31/2013 0:00:00,222,"GREATER NEW ORLEANS",3155,7/27/2012 0:00:00,490,"Other","LA WORKFORCE COMMISSION","Not Collected"
422,12/31/2013 0:00:00,229,"PITTSBURGH",5,10/1/2008 0:00:00,1500,"NCUA Technical Assistance Program",,"Not Collected"
422,12/31/2013 0:00:00,229,"PITTSBURGH",1730,12/13/2011 0:00:00,5000,"NCUA Technical Assistance Program","","Not Collected"
422,12/31/2013 0:00:00,229,"PITTSBURGH",3068,7/13/2012 0:00:00,7500,"NCUA Technical Assistance Program","","Not Collected"
475,12/31/2013 0:00:00,253,"INTEGRITY",3397,7/23/2013 0:00:00,5000,"Other","OHIO CREDIT UNION LEAGUE FOUNDATION","Pass Through"
567,12/31/2013 0:00:00,291,"AMBRAW",3151,11/21/2012 0:00:00,400,"Association of Credit Union Leagues","","Program Grant"
577,12/31/2013 0:00:00,293,"MEMBER PREFERRED",865,6/30/2009 0:00:00,1000,"Association of Credit Union Leagues",,"Not Collected"
643,12/31/2013 0:00:00,329,"BUTTE",1852,8/15/2012 0:00:00,25000,"NCUA Technical Assistance Program","","Not Collected"
665,12/31/2013 0:00:00,342,"PENINSULA COMMUNITY",3327,5/3/2013 0:00:00,10700,"Other","Northwest Credit Union Foundation","Program Grant"
682,12/31/2013 0:00:00,350,"AMERICAN METER EMPLOYEES",3126,11/21/2012 0:00:00,3600,"Other","OSCUI URGENT NEEDS GRANT","Not Collected"
731,12/31/2013 0:00:00,369,"BRIDGEWAY",1926,9/24/2012 0:00:00,99999,"Community Development Financial Institutions Fund","","Program Grant"
