"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
51,12/31/2013 0:00:00,32,"STATE EMPLOYEES",215,"SEFCU"
82,12/31/2013 0:00:00,46,"FIRST ATLANTIC",75,"First Atlantic Federal Credit Un"
82,12/31/2013 0:00:00,46,"FIRST ATLANTIC",76,"First Atlantic FCU"
151,12/31/2013 0:00:00,78,"JUSTICE",227,"Justice FCU"
151,12/31/2013 0:00:00,78,"JUSTICE",228,"JFCU"
159,12/31/2013 0:00:00,83,"THREE RIVERS",3,"3Rivers"
227,12/31/2013 0:00:00,121,"PENTAGON",118,"Pentagon Federal Credit Union"
227,12/31/2013 0:00:00,121,"PENTAGON",119,"PenFed"
340,12/31/2013 0:00:00,183,"JAX",15,"Jax FCU"
383,12/31/2013 0:00:00,211,"GEORGIA POWER",66,"CUontheGrid"
624,12/31/2013 0:00:00,321,"UNITED STATES SENATE",225,"USSFCU, US Senate FCU"
665,12/31/2013 0:00:00,342,"PENINSULA COMMUNITY",14,"Peninsula Credit Union"
808,12/31/2013 0:00:00,398,"U.S. NEW MEXICO",254,"US New Mexico Federal Credit Uni"
1117,12/31/2013 0:00:00,557,"WIDGET",62,"Widget Financial"
1127,12/31/2013 0:00:00,561,"SALEM VA MEDICAL CENTER",59,"Salem VA Credit Union"
1644,12/31/2013 0:00:00,803,"CORNING",223,"Corning Credit Union"
1644,12/31/2013 0:00:00,803,"CORNING",224,"CCU"
1717,12/31/2013 0:00:00,834,"HAWAIIAN TEL",213,"Hawaiian Tel Federal Credit Unio"
1717,12/31/2013 0:00:00,834,"HAWAIIAN TEL",313,"HiTel FCU"
1718,12/31/2013 0:00:00,835,"HAWAII STATE",325,"HSFCU"
1718,12/31/2013 0:00:00,835,"HAWAII STATE",326,"Hawaii State Federal Credit Unio"
1718,12/31/2013 0:00:00,835,"HAWAII STATE",327,"Hawaii State FCU"
1845,12/31/2013 0:00:00,883,"ALOHA PACIFIC",108,"APFCU"
1845,12/31/2013 0:00:00,883,"ALOHA PACIFIC",109,"ALOHA PACIFIC FEDERAL CREDIT UNI"
1845,12/31/2013 0:00:00,883,"ALOHA PACIFIC",110,"ALOHA PACIFIC FCU"
1976,12/31/2013 0:00:00,943,"CENTRAL FLORIDA EDUCATORS",235,"CFE Federal Credit Union"
2016,12/31/2013 0:00:00,959,"SOUTHLAND SAVINGS",318,"NONE"
2414,12/31/2013 0:00:00,1127,"ROBERTS DAIRY EMPLOYEES",303,"Manufactoring"
2585,12/31/2013 0:00:00,1204,"RED CROWN",25,"Red Crown Credit Union"
2744,12/31/2013 0:00:00,1277,"U. S. EMPLOYEES O. C.",256,"USE Federal Credit Union"
2818,12/31/2013 0:00:00,1308,"HOLYOKE COMMUNITY",27,"Holyoke Credit Union"
2953,12/31/2013 0:00:00,1360,"LANAI",68,"Lanai FCU"
3238,12/31/2013 0:00:00,1479,"DESERT SCHOOLS",203,"DS Live"
4142,12/31/2013 0:00:00,1849,"KINECTA",257,"You're Somebody Special"
4142,12/31/2013 0:00:00,1849,"KINECTA",258,"Stylized ""O"""
4142,12/31/2013 0:00:00,1849,"KINECTA",259,"Protecting What's Essential"
4142,12/31/2013 0:00:00,1849,"KINECTA",260,"Paydaytoday"
4142,12/31/2013 0:00:00,1849,"KINECTA",261,"NIX Financial"
4142,12/31/2013 0:00:00,1849,"KINECTA",262,"NIX Check Cashing"
4142,12/31/2013 0:00:00,1849,"KINECTA",263,"Kinecta Federal Credit Union"
4142,12/31/2013 0:00:00,1849,"KINECTA",264,"Kinecta Express"
4142,12/31/2013 0:00:00,1849,"KINECTA",265,"Kinecta"
4142,12/31/2013 0:00:00,1849,"KINECTA",266,"iKinect"
4142,12/31/2013 0:00:00,1849,"KINECTA",267,"Change for Tomorrow"
4142,12/31/2013 0:00:00,1849,"KINECTA",268,"Apollo Insurance Services"
5029,12/31/2013 0:00:00,2166,"RED RIVER EMPLOYEES",61,"Red River Credit Union"
5400,12/31/2013 0:00:00,2320,"SAC",60,"SAC FEDERAL CREDIT UNION"
5497,12/31/2013 0:00:00,2378,"TEXAS",296,"TFCU"
5497,12/31/2013 0:00:00,2378,"TEXAS",297,"Texas Federal Credit Union"
5588,12/31/2013 0:00:00,2427,"UNITED NATIONS",287,"UNFCU"
5628,12/31/2013 0:00:00,2448,"INDEPENDENT EMPLOYERS GROUP",291,"IEG FCU"
5978,12/31/2013 0:00:00,2629,"WEST OAHU COMMUNITY",112,"Hawaii Credit Union League"
5978,12/31/2013 0:00:00,2629,"WEST OAHU COMMUNITY",113,"CUNA Mutual Group"
6160,12/31/2013 0:00:00,2737,"SUN EAST",47,"Sun East Retirement and Investme"
6160,12/31/2013 0:00:00,2737,"SUN EAST",48,"Sun East Federal Credit Union"
6160,12/31/2013 0:00:00,2737,"SUN EAST",49,"Sun East"
6339,12/31/2013 0:00:00,2837,"BATON ROUGE CITY PARISH EMP",151,"Baton Rouge City Parish EFCU"
7238,12/31/2013 0:00:00,3306,"PHILADELPHIA",207,"Philadelphia FCU"
7238,12/31/2013 0:00:00,3306,"PHILADELPHIA",208,"PFCU"
7345,12/31/2013 0:00:00,3367,"CARIBE",129,"Servicio con Calor Humano"
7345,12/31/2013 0:00:00,3367,"CARIBE",130,"I Save"
7345,12/31/2013 0:00:00,3367,"CARIBE",131,"CFCU"
7345,12/31/2013 0:00:00,3367,"CARIBE",132,"Carikid"
7345,12/31/2013 0:00:00,3367,"CARIBE",133,"Caribe Online"
7345,12/31/2013 0:00:00,3367,"CARIBE",134,"Caribe Mobile"
7345,12/31/2013 0:00:00,3367,"CARIBE",135,"Caribe Federal"
7531,12/31/2013 0:00:00,3462,"HUGHES",125,"Hughes Federal Credit Union"
7531,12/31/2013 0:00:00,3462,"HUGHES",126,"Hughes FCU"
7531,12/31/2013 0:00:00,3462,"HUGHES",127,"HFCU Financial Services"
8111,12/31/2013 0:00:00,3795,"RANDOLPH-BROOKS",315,"RBFCU"
8227,12/31/2013 0:00:00,3850,"MIRAMAR",180,"Miramar Federal Credit Union"
8384,12/31/2013 0:00:00,3924,"CATHOLIC VANTAGE FINANCIAL",307,"Catholic Vantage Financial"
8475,12/31/2013 0:00:00,3974,"OTERO",142,"Otero FCU"
8475,12/31/2013 0:00:00,3974,"OTERO",143,"OFCU"
8594,12/31/2013 0:00:00,4037,"FINANCIAL CENTER",21,"Financial Center"
8667,12/31/2013 0:00:00,4073,"CP",72,"CPFCU"
8667,12/31/2013 0:00:00,4073,"CP",73,"CP Federal Credit Union"
8667,12/31/2013 0:00:00,4073,"CP",74,"CP Federal"
8797,12/31/2013 0:00:00,4131,"WRIGHT PATMAN CONGRESSIONAL",293,"CONGRESSIONAL FEDERAL"
8797,12/31/2013 0:00:00,4131,"WRIGHT PATMAN CONGRESSIONAL",294,"CONGRESSIONAL FCU"
9009,12/31/2013 0:00:00,4244,"TACONNET",28,"Taconnet FCU"
9084,12/31/2013 0:00:00,4283,"PALMETTO TRUST",193,"PTFCU"
9084,12/31/2013 0:00:00,4283,"PALMETTO TRUST",194,"Palmetto Trust Federal CU"
9084,12/31/2013 0:00:00,4283,"PALMETTO TRUST",195,"Palmetto Trust FCU"
9230,12/31/2013 0:00:00,4366,"VONS EMPLOYEES",331,"Vons Credit Union"
9292,12/31/2013 0:00:00,4404,"CONSOLIDATED",30,"Consolidated Community Credit Un"
9436,12/31/2013 0:00:00,4497,"O.S.U.",229,"OSU Federal Credit Union"
9436,12/31/2013 0:00:00,4497,"O.S.U.",230,"OSU FCU Financial Services, LLC"
9493,12/31/2013 0:00:00,4529,"M-C",121,"MCFCU"
9493,12/31/2013 0:00:00,4529,"M-C",122,"M-C Federal Credit Union"
10245,12/31/2013 0:00:00,4960,"UNITED SAN ANTONIO COMMUNITY",162,"UNITED SA FCU"
10245,12/31/2013 0:00:00,4960,"UNITED SAN ANTONIO COMMUNITY",163,"UNITED SA"
10375,12/31/2013 0:00:00,5047,"1ST LIBERTY",238,"1st Liberty Federal Credit Union"
10465,12/31/2013 0:00:00,5101,"UNIVERSITY OF HAWAII",54,"UHFCU Investment Services"
10578,12/31/2013 0:00:00,5163,"NORTHERN",149,"Northern Credit Union"
10880,12/31/2013 0:00:00,5324,"PINELLAS",231,"PFCU"
10958,12/31/2013 0:00:00,5364,"FIRST EAGLE",196,"First Eagle FCU"
11157,12/31/2013 0:00:00,5470,"UTICA DISTRICT TELEPHONE EMPLOYEES",101,"UTELFCU"
11316,12/31/2013 0:00:00,5562,"SANDIA AREA",124,"Sandia Area"
11570,12/31/2013 0:00:00,5712,"ENT",4,"Ent"
12029,12/31/2013 0:00:00,5974,"UNITED CATHOLICS",167,"UCFCU"
12067,12/31/2013 0:00:00,5997,"BAY",136,"Bay Federal Credit Union"
12084,12/31/2013 0:00:00,6007,"MID OREGON",214,"Mid Oregon Credit Union"
12199,12/31/2013 0:00:00,6071,"KIRTLAND",153,"Your Wingman"
12805,12/31/2013 0:00:00,6421,"MOCSE",309,"Mocse Credit Union"
13828,12/31/2013 0:00:00,7051,"ALLSOUTH",77,"AllSouth"
14369,12/31/2013 0:00:00,7380,"AURORA SCHOOLS",18,"Aurora Schools Federal Credit Un"
14369,12/31/2013 0:00:00,7380,"AURORA SCHOOLS",19,"Aurora Schools Credit Union"
14369,12/31/2013 0:00:00,7380,"AURORA SCHOOLS",20,"ASFCU"
14384,12/31/2013 0:00:00,7387,"MISSION",103,"MissionFed.com"
14384,12/31/2013 0:00:00,7387,"MISSION",104,"Mission Federal"
14384,12/31/2013 0:00:00,7387,"MISSION",105,"Mission Fed"
14850,12/31/2013 0:00:00,7676,"PLYMOUTH COUNTY TEACHERS",255,"PCT Federal Credit Union"
15335,12/31/2013 0:00:00,7945,"CHABOT",141,"Chabot FCU"
15732,12/31/2013 0:00:00,8181,"WESTERN",140,"Western"
15802,12/31/2013 0:00:00,8223,"HUDSON VALLEY",181,"HVFCU"
17012,12/31/2013 0:00:00,8924,"PROFED",204,"PROFED"
17372,12/31/2013 0:00:00,9136,"LOCKPORT SCHOOLS",308,"Credit Union Association of NY"
18616,12/31/2013 0:00:00,9811,"DUKE UNIVERSITY",55,"Duke Credit Union"
18707,12/31/2013 0:00:00,9853,"INTERSTATE UNLIMITED",279,"Interstate Credit Union"
19263,12/31/2013 0:00:00,10142,"NEW ENGLAND",69,"New England Federal Credit Union"
19263,12/31/2013 0:00:00,10142,"NEW ENGLAND",70,"nefcu.com"
