"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_Name","CusoName","City","IsWhollyOwned","Investment","Loan","CashOutlay","Check_cur_serv","Cler_prof_mgt_serv","Bus_ln_orig","Cons_mtg_orig","Elect_trans_serv","Fin_con_serv","FA_serv","Ins_br_ag","Leasing","Ln_supp_serv","RR_sec_DR_serv","Ins_br_serv","Shr_branch_ops","St_Ln_orig","Trav_ag_serv","Trusts","RE_br_serv","CUSOinv_nonCUSO","CC_ln_orig","pay_proc_serv","Other","OtherCusoServiceType","DateCreated","DateUpdated","InvestmentAccountingTypeName","StateCode","EIN"
5,12/31/2013 0:00:00,6,"FIRST CASTLE","CUCB","Harahan",0,50000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/23/2014 16:51:00,"Cost Method","LA","900209549"
6,12/31/2013 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Catalyst Strategic Solutions","Plano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ALM Modeling Services",8/27/2009 22:11:00,1/24/2014 21:29:00,"","TX","752755118"
6,12/31/2013 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Credit Union Cooperative Branching, LLC","Harahan",0,50000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2014 21:29:00,"Cost Method","LA","900209549"
6,12/31/2013 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","ICUL Service Corporation","Naperville",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2014 21:29:00,"","IL","237028076"
6,12/31/2013 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","MyCuMortgage","Fairborn",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/24/2014 21:29:00,"","OH","311690008"
6,12/31/2013 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Ongoing Operations, LLC","Maugansville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/24/2014 21:29:00,"","MD","300371143"
6,12/31/2013 0:00:00,7,"THE NEW ORLEANS FIREMEN'S","Simply Intergrated Platform Solutions, LLC","San Bernardino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Software Application that works with our Core Processor",8/27/2009 22:11:00,1/24/2014 21:29:00,"","CA","371521955"
12,12/31/2013 0:00:00,11,"FRANKLIN TRUST","Mortgage Markets CUSO","East Hartford",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/27/2009 22:11:00,1/22/2014 10:32:00,"","CT","753103689"
13,12/31/2013 0:00:00,12,"E","Business Alliance Financial Services LLC","Shreveport",0,42916,0,41208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/17/2014 15:53:00,"Cost Method","LA","270846943"
13,12/31/2013 0:00:00,12,"E","Credit Union Cooperative Branching","Harahan",0,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",8/27/2009 22:11:00,1/17/2014 15:53:00,"Cost Method","LA","900209549"
13,12/31/2013 0:00:00,12,"E","CU24","Tallahassee",0,17187,0,17187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",8/27/2009 22:11:00,1/17/2014 15:53:00,"Cost Method","FL","593486863"
