"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_844A","ACCT_844B","ACCT_844C","ACCT_844D","ACCT_844E","ACCT_844F","ACCT_844G","ACCT_844H","ACCT_844I","ACCT_844J","ACCT_844K","ACCT_844L","ACCT_844M","ACCT_844N","ACCT_844O","ACCT_844P","ACCT_844Q","ACCT_844R","ACCT_844S","ACCT_844T"
1,12/31/2013 0:00:00,2,"","","","","","","","","","","","","","","","","","","",""
5,12/31/2013 0:00:00,6,"","","","","","","","","","","","","","","","","","","",""
6,12/31/2013 0:00:00,7,"","","","","","","","","","","","","","","","","","","",""
12,12/31/2013 0:00:00,11,"","","","","","","","","","","","","","","","","","","",""
13,12/31/2013 0:00:00,12,"","","","","","","","","","","","","","","","","","","",""
16,12/31/2013 0:00:00,14,"","","","","","","","","","","","","","","","","","","",""
19,12/31/2013 0:00:00,16,"","","","","","","","","","","","","","","","","","","",""
22,12/31/2013 0:00:00,17,"","","","","","","","","","","","","","","","","","","",""
26,12/31/2013 0:00:00,19,"","","","","","","","","","","","","","","","","","","",""
28,12/31/2013 0:00:00,21,"462192758","470657630","","","","","","","","","","","","","","","","","",""
36,12/31/2013 0:00:00,25,"","","","","","","","","","","","","","","","","","","",""
42,12/31/2013 0:00:00,29,"060852893","","","","","","","","","","","","","","","","","","",""
47,12/31/2013 0:00:00,30,"","","","","","","","","","","","","","","","","","","",""
48,12/31/2013 0:00:00,31,"59-3486863","","","","","","","","","","","","","","","","","","",""
51,12/31/2013 0:00:00,32,"141817133","010940996","","","","","","","","","","","","","","","","","",""
53,12/31/2013 0:00:00,33,"","","","","","","","","","","","","","","","","","","",""
60,12/31/2013 0:00:00,35,"","","","","","","","","","","","","","","","","","","",""
62,12/31/2013 0:00:00,36,"","","","","","","","","","","","","","","","","","","",""
75,12/31/2013 0:00:00,40,"","","","","","","","","","","","","","","","","","","",""
77,12/31/2013 0:00:00,41,"","","","","","","","","","","","","","","","","","","",""
78,12/31/2013 0:00:00,42,"","","","","","","","","","","","","","","","","","","",""
79,12/31/2013 0:00:00,43,"","","","","","","","","","","","","","","","","","","",""
80,12/31/2013 0:00:00,44,"061552551","","","","","","","","","","","","","","","","","","",""
82,12/31/2013 0:00:00,46,"","","","","","","","","","","","","","","","","","","",""
90,12/31/2013 0:00:00,49,"","","","","","","","","","","","","","","","","","","",""
91,12/31/2013 0:00:00,50,"","","","","","","","","","","","","","","","","","","",""
98,12/31/2013 0:00:00,54,"","","","","","","","","","","","","","","","","","","",""
107,12/31/2013 0:00:00,57,"","","","","","","","","","","","","","","","","","","",""
108,12/31/2013 0:00:00,58,"","","","","","","","","","","","","","","","","","","",""
110,12/31/2013 0:00:00,59,"","","","","","","","","","","","","","","","","","","",""
112,12/31/2013 0:00:00,60,"","","","","","","","","","","","","","","","","","","",""
118,12/31/2013 0:00:00,61,"","","","","","","","","","","","","","","","","","","",""
119,12/31/2013 0:00:00,62,"","","","","","","","","","","","","","","","","","","",""
120,12/31/2013 0:00:00,63,"","","","","","","","","","","","","","","","","","","",""
132,12/31/2013 0:00:00,69,"","","","","","","","","","","","","","","","","","","",""
135,12/31/2013 0:00:00,70,"","","","","","","","","","","","","","","","","","","",""
138,12/31/2013 0:00:00,72,"","","","","","","","","","","","","","","","","","","",""
146,12/31/2013 0:00:00,74,"","","","","","","","","","","","","","","","","","","",""
147,12/31/2013 0:00:00,75,"","","","","","","","","","","","","","","","","","","",""
150,12/31/2013 0:00:00,77,"200657580","","","","","","","","","","","","","","","","","","",""
151,12/31/2013 0:00:00,78,"","","","","","","","","","","","","","","","","","","",""
153,12/31/2013 0:00:00,80,"","","","","","","","","","","","","","","","","","","",""
159,12/31/2013 0:00:00,83,"","","","","","","","","","","","","","","","","","","",""
162,12/31/2013 0:00:00,85,"010583812","","","","","","","","","","","","","","","","","","",""
165,12/31/2013 0:00:00,86,"","","","","","","","","","","","","","","","","","","",""
